year,quarter,DCKB Datacenter ID,Company,DCKB Datacenter Name,Facility Owner,Data Center Tenancy,Datacenter Operational Status,Year Built,Datacenter Type,Street Address,Country,City,Zip Code,Latitude,Longitude, Total Operational Space , Total Operational Space Utilized ,Total UPS Power (kW) ,Total UPS Power Utilized (kW),Total Utility Power (kW) ,PUE,Total Racks 
2018,4,936,Global Switch,London East,Global Switch,Multi,Operational,,Wholesale,3 Nutmeg Lane,United Kingdom,London,E14 2AX,51.5111086,-0.0037486,465000,441750,69750,66263,104625,1.5,12917
2019,4,936,Global Switch,London East,Global Switch,Multi,Operational,,Wholesale,3 Nutmeg Lane,United Kingdom,London,E14 2AX,51.5111086,-0.0037486,465000,441750,69750,66263,104625,1.5,12917
2020,4,936,Global Switch,London East,Global Switch,Multi,Operational,,Wholesale,3 Nutmeg Lane,United Kingdom,London,E14 2AX,51.5111086,-0.0037486,465000,441750,69750,66263,104625,1.5,12917
2018,4,937,Global Switch,London North,Global Switch,Multi,Operational,,Wholesale,240 East India Dock Road,United Kingdom,London,E14 9YY,51.5111482,-0.0060816,170000,153000,25500,22950,57667,1.7,4359
2019,4,937,Global Switch,London North,Global Switch,Multi,Operational,,Wholesale,240 East India Dock Road,United Kingdom,London,E14 9YY,51.5111482,-0.0060816,226145,169609,33922,25442,57667,1.7,5799
2020,4,937,Global Switch,London North,Global Switch,Multi,Operational,,Wholesale,240 East India Dock Road,United Kingdom,London,E14 9YY,51.5111482,-0.0060816,226145,180916,33922,27138,57667,1.7,5799
2018,4,971,NTT Communications,Ajax,NTT Communications,Multi,Operational,,Retail,665 Ajax Avenue,United Kingdom,Slough,SL1 4BG,51.516869,-0.616584,26909,25564,5000,4750,6000,1.2,747
2019,4,971,NTT Communications,Ajax,NTT Communications,Multi,Operational,,Retail,665 Ajax Avenue,United Kingdom,Slough,SL1 4BG,51.516869,-0.616584,26909,25564,5000,4750,6000,1.2,747
2020,4,971,NTT Communications,Ajax,NTT Communications,Multi,Operational,,Retail,665 Ajax Avenue,United Kingdom,Slough,SL1 4BG,51.516869,-0.616584,26909,25564,5000,4750,6000,1.2,747
2018,4,972,NTT Communications,Centro,NTT Communications,Multi,Operational,,Retail,"Centro 3 Boundary Way, Hemel Hempstead",United Kingdom,Hemel Hempstead,HP2 7SU,51.7641986,-0.4345023,20000,19000,3000,2850,3900,1.3,556
