year,quarter,DCKB Datacenter ID,Company,DCKB Datacenter Name,Facility Owner,Data Center Tenancy,Datacenter Operational Status,Year Built,Datacenter Type,Street Address,Country,City,Zip Code,Latitude,Longitude, Total Operational Space , Total Operational Space Utilized ,Total UPS Power (kW) ,Total UPS Power Utilized (kW),Total Utility Power (kW) ,PUE,Total Racks 
2019,4,197,Six Degrees,South East London,Six Degrees,Multi,Operational,2008,Retail,Anchor and Hope Lane,United Kingdom,London,SE7 7SQ,51.4245748,-0.1970336,15069,8288,1941,1068,3688,1.9,419
2020,4,197,Six Degrees,Greenwich,Six Degrees,Multi,Operational,2008,Retail,Anchor and Hope Lane,United Kingdom,London,SE7 7SQ,51.4245748,-0.1970336,15069,8288,1941,1068,3688,1.9,419
2018,4,198,Six Degrees,Telehouse North,KDDI Telehouse,Multi,Operational,,Retail,"14 Coriander Ave, East India Dock Rd",United Kingdom,London,E14 2AA,51.511701,-0.0039214,1000,500,82,41,156,1.9,28
2019,4,198,Six Degrees,Telehouse North,KDDI Telehouse,Multi,Operational,,Retail,"14 Coriander Ave, East India Dock Rd",United Kingdom,London,E14 2AA,51.511701,-0.0039214,1000,500,82,41,156,1.9,28
2020,4,198,Six Degrees,Telehouse North,KDDI Telehouse,Multi,Operational,,Retail,"14 Coriander Ave, East India Dock Rd",United Kingdom,London,E14 2AA,51.511701,-0.0039214,1000,500,82,41,156,1.9,28
2018,4,228,BT Group,LON1,BT Group,Multi,Operational,1997,Telco,26 Holborn Viaduct,United Kingdom,London,EC1A 2AT,51.517182,-0.105379,116271,81390,14976,10483,28454,1.9,3230
2019,4,228,BT Group,LON1,BT Group,Multi,Operational,1997,Telco,26 Holborn Viaduct,United Kingdom,London,EC1A 2AT,51.517182,-0.105379,116271,81390,14976,10483,28454,1.9,3230
2020,4,228,BT Group,LON1,BT Group,Multi,Operational,1997,Telco,26 Holborn Viaduct,United Kingdom,London,EC1A 2AT,51.517182,-0.105379,116271,81390,14976,10483,28454,1.9,3230
2018,4,235,Cyberfort Group,Berkshire,Cyberfort Group,Multi,Operational,2004,Retail,"Venture West, New Greenham Park",United Kingdom,Newbury,RG19 6HX,51.3772631,-1.2894276,7500,6000,2000,1600,2700,1.8,208
2019,4,235,Cyberfort Group,Berkshire,Cyberfort Group,Multi,Operational,2004,Retail,"Venture West, New Greenham Park",United Kingdom,Newbury,RG19 6HX,51.3772631,-1.2894276,7500,6000,2000,1600,2700,1.8,208
2020,4,235,Cyberfort Group,Berkshire,Cyberfort Group,Multi,Operational,2004,Retail,"Venture West, New Greenham Park",United Kingdom,Newbury,RG19 6HX,51.3772631,-1.2894276,7500,6000,2000,1600,2700,1.8,300
